Year,Concentration
2019,1.49
2022,3.05
2020,2.53
2021,2.37
2019,3.49
2019,2.62
2023,2.8
2023,3.69
2020,3.04
2022,1.62
2021,2.11
2019,0.05
2023,3.31
2023,3.51
2019,2.66
2023,4.05
2023,1.36
2019,1.96
2019,1.12
2020,1.76
2019,1.62
2023,2.06
2019,1.17
2023,2.14
2021,0.46
2019,-0.49
2023,1.01
2022,1.66
2021,1.85
2020,2.3
2021,3.59
2020,1.56
2020,1.82
2019,1.34
2019,1.97
2023,2.46
2019,3.08
2019,2.87
2022,4.27
2022,2.52
2021,1.09
2019,0.33
2021,1.88
2021,2.52
2023,2.96
2022,1.35
2021,2.94
2022,2.6
2021,2.01
2019,1.58
2022,1.77
2022,3.25
2022,0.82
2022,3.65
2022,2.34
2021,1.67
2021,1.99
2020,0.7
2022,2.12
2021,2.36
2023,2.33
2023,1.46
2019,3.18
2021,2.92
2023,6
2023,8
